Status of starting,Walking
Status of starting,Wheeler Chair
Status of starting,Bed ridden
Status of starting,Clinical Diagnosis
Pedal Odema,Yes,nomultiple
Pedal Odema,No,nomultiple
Bed sore,Yes,nomultiple
Bed sore,No,nomultiple
Injection,IM
Injection,IV
Injection,SC
Blood Sugar Check (hrs),Q2
Blood Sugar Check (hrs),Q4
Blood Sugar Check (hrs),Q6
Blood Sugar Check (hrs),Q8
Nebulisation (hrs),Q2
Nebulisation (hrs),Q4
Nebulisation (hrs),Q6
Nebulisation (hrs),Q8
Mode of Oxygen,Cylinder
Mode of Oxygen,Concentrator
Mode of Oxygen,BIPAP
Mode of Oxygen,Ventilator
Mode of Oxygen,Ambu Bag
Ambulation,Walking with aid
Ambulation,Walking without aid
Ambulation,Bedridden
Ambulation,Using Wheel Chair
Ambulation,Using Walker
Mood,Cheerful
Mood,Irritated
Mood,Agitated
Mood,Morose
Mood,Disturbed
Mood,Feeding,Self
Mood,Ryles Tube
Mood,Assisted by person
Mood,PEG
Elimination Bladder,Self
Elimination Bladder,Urinal
Elimination Bladder,SPC
Elimination Bladder,Diaper
Elimination Bladder,Catheter
Elimination Bladder,Condom
Elimination Bowel,Self
Elimination Bowel,Bedpan
Elimination Bowel,Diaper
Elimination Bowel,Colostomy
Mode of Suction,Oral
Mode of Suction,Tracheal
Mode of Suction,Endo Tracheal
Mode of Suction,Nasal
Mode of Suction,Naso Tracheal
Fall Risk Assessment,Age above 60
Fall Risk Assessment,Impaired Judgement
Fall Risk Assessment,Muscular Weakness
Fall Risk Assessment,Other
Fall Risk Assessment,Previous Fall
Fall Risk Assessment,Post operative
Fall Risk Assessment,Sensory Deflicit
Pain Score,0,nomultiple
Pain Score,1,nomultiple
Pain Score,2,nomultiple
Pain Score,3,nomultiple
Pain Score,4,nomultiple
Pain Score,5,nomultiple
Pain Score,6,nomultiple
Pain Score,7,nomultiple
Pain Score,8,nomultiple
Pain Score,9,nomultiple
Pain Score,10,nomultiple
Knowledge imparted to staff regarding the use of medical equipments,Yes,nomultiple
Knowledge imparted to staff regarding the use of medical equipments,No,nomultiple
Disposal available for staff,Handwash
Disposal available for staff,Cotton
Disposal available for staff,Catheters
Disposal available for staff,Face Mask
Disposal available for staff,Underpads
Disposal available for staff,Dressing Items
Disposal available for staff,Diapers
Disposal available for staff,Suction
Disposal available for staff,Gloves
Disposal available for staff,Cap
Disposal available for staff,Tissues
Disposal available for staff,Apron
Any Pets?,Yes,nomultiple
Any Pets?,No,nomultiple
Incase of staff injured by pets accident at workplace, will you bear the cost of treatment?,Yes,nomultiple
Incase of staff injured by pets accident at workplace, will you bear the cost of treatment?,No,nomultiple
Does the patient Smoke / Drink?,Yes,nomultiple
Does the patient Smoke / Drink?,No,nomultiple
Does the patient go on regular social visit?,Yes,nomultiple
Does the patient go on regular social visit?,No,nomultiple
Any Guard at your home?,Yes,nomultiple
Any Guard at your home?,No,nomultiple
