Test ID,Test Order Name
Oct-02,OCT-2 Immunostain ^  Technical Component Only
Oct-04,OCT3/4 Immunostain ^  Technical Component Only
17BFP,Fluticasone 17-Beta-Carboxylic Acid ^  Urine
17OHP,17-Hydroxypregnenolone ^  Serum
199PT,Carbohydrate Antigen 19-9 (CA 19-9) ^  Peritoneal Fluid
21DOC,21-Deoxycortisol ^  Serum
21OH,21-Hydroxylase Antibodies ^  Serum
22C3,Programmed Death-Ligand 1 (PD-L1) (22C3) ^  Semi-Quantitative Immunohistochemistry ^  Manual
23BPG,2 ^ 3-Dinor-11Beta-Prostaglandin F2 Alpha ^  Urine
2C19V,Cytochrome P450 2C19 Genotype ^  Varies
2C9GV,Cytochrome P450 2C9 Genotype ^  Varies
2D6CV,Cytochrome P450 2D6 (CYP2D6) Comprehensive Cascade ^  Varies
3A5V,CYP3A5 Genotype ^  Varies
3MT,3-Methoxytyramine ^  24 Hour ^  Urine
7AC4,7AC4 ^  Bile Acid Synthesis ^  Serum
A1AF,Alpha-1-Antitrypsin ^  Random ^  Feces
A1R,A1 Antigen Subtype ^  Whole Blood
A2M,Alpha-2-Macroglobulin ^  Serum
A2PI,Alpha-2 Plasmin Inhibitor ^  Plasma
AAH,Amyloid A (Hepatic) Immunostain ^  Technical Component Only
AAMY,Alpha-Amylase ^  IgE ^  Serum
AAT,Alpha-1-Antitrypsin ^  Serum
AATRP,Alpha-1-Antitrypsin (AAT) Immunostain ^  Technical Component Only
AB2GP,Beta-2 Glycoprotein 1 Antibodies ^  IgA ^  Serum
ABCRS,Alpha/Beta Crystallin IHC ^  Technical Component Only
ABIDR,Antibody Identification ^  RBC
ABOMR,ABORh ^  RBC
ABONR,ABO/Rh Newborn ^  RBC
ABTIR,Antibody Titer ^  Whole Blood and Serum
ABYSR,Antibody Screen with Reflexed Antibody Identification ^  RBC
ACAC,Acacia ^  IgE ^  Serum
ACAR,Acarus siro ^  IgE ^  Serum
ACARP,Acanthamoeba species Molecular Detection ^  PCR ^  Ocular
ACASM,Pernicious Anemia Cascade ^  Serum
ACE,Angiotensin Converting Enzyme ^  Serum
ACHS,Acetylcholinesterase ^  Erythrocytes
ACLIP,Phospholipid (Cardiolipin) Antibodies ^  IgA ^  Serum
ACMA,Acetaminophen ^  Serum
ACT,Actinomyces Culture ^  Varies
ACTH,Adrenocorticotropic Hormone ^  Plasma
ACTHI,Adrenocorticotropic Hormone (ACTH) Immunostain ^  Technical Component Only
ADALX,Adalimumab Quantitative with Reflex to Antibody ^  Serum
ADEVL,Alzheimer Disease Evaluation ^  Spinal Fluid
ADMA,Asymmetric Dimethylarginine ^  Plasma
ADMBU,ADAMTS13 Inhibitor Bethesda Titer
ADMIS,ADAMTS13 Inhibitor Screen Assay
ADNA,DNA Double-Stranded Antibodies ^  IgG ^  Serum
