MedID,Medication
1001,(+)-Catechin (25 mg)
1002,(-)-Epigallocatechin-3-O-gallate (20 mg)
1003,(E)-Thiothixene (100 mg)
1004,(Z)-N'-Methylmeloxicam (30 mg) ((Z)-N-(3 - 5-dimethylthiazol-2(3H)-ylidene)-4-hydroxy-2-methyl-2H-benzo[e][1 - 2]thiazine-3-carboxamide 1 - 1-dioxide)
1005,1 - 3-Propanediol (1 mL)
1006,1 - 4-Benzoquinone (200 mg)
1007,1 - 4-Sorbitan (300 mg)
1008,1 - 6-anhydro-D-glucose (50 mg)
1009,1-Butanol (1.2 mL/ampule; 3 ampules)
1010,1-Ethoxy-2-Methylpropane (3 x 0.2 mL)
1011,1-Pentanol (1.2 mL/ampule; 3 ampules)
1012,1-Propanol (1.2 mL/ampule; 3 ampules)
1013,10-Formylfolic Acid (25 mg)
1014,12-Hydroxystearic Acid (200 mg)
1015,17alpha-Dihydroequilin (50 mg) (Estra-1 - 3 - 5(10) - 7-tetraene-3 - 17alpha-diol)
1016,2 - 3 - 5 - 4'-Tetrahydroxystilbene-2-O-Beta-D-Glucoside (50 mg) ((E)-2 - 4-dihydroxy-6-(4-hydroxystyryl)phenyl beta-D-glucopyranoside)
1017,2 - 3-Butanedithiol (3 x 1 g)
1018,2 - 3-Dimethylaniline (50 mg)
1019,2 - 4-Dichlorophenol (100 mg)
1020,2 - 4-Disulfamyl-5-Trifluoromethylaniline (50 mg)
1021,2-Acetylpyridine (1 g)
1022,2-Amino-5-chlorobenzophenone (25 mg)
1023,2-Butanol (1.2 mL/ampule; 3 ampules)
1024,2-Ethylhexan-1-ol (1.5 mL)
1025,2-Methyl-1-propanol (1.2 mL/ampule; 3 ampules)
1026,2-Propanol (1.2 mL/ampule; 3 ampules)
1027,2-Propanol System Suitability (3 x 1 mL)
1028,2-[N-(2 - 2 - 2-Trifluoroethyl)amino-5]-chlorobenzophenone (25 mg)
1029,2-tert-Butyl-4-hydroxyanisole (200 mg)
1030,23-EPI-26-Deoxyactein (20 mg)
1031,2E -  4E-Hexadienoic Acid Isobutylamide (25 mg)
1032,3-Acetyl-11-Keto-Beta-Boswellic Acid (20 mg)
1033,3-Amino-2 - 4 - 6-triiodobenzoic Acid (50 mg)
1034,3-Benzyl-4-Heptanone (5 x 0.5 mL)
1035,3-Chlorobenzoic Acid (25 mg)
1036,3-Mercapto-2-methylpropanoic Acid 1 - 2-Diphenylethylamine Salt (75 mg)
1037,3-Methyl-1-butanol (1.2 mL/ampule; 3 ampules)
1038,3-O-Methylmethyldopa (50 mg)
1039,3-tert-Butyl-4-hydroxyanisole (200 mg)
1040,4-Aminobenzoylglutamic Acid (50 mg)
1041,4-Aminophenol (100 mg)
1042,4-Chlorobenzophenone (30 mg) (4-Chlorobenzophenone)
1043,4-Epianhydrotetracycline Hydrochloride (50 mg)
1044,4-Hydrazinylbenzenesulfonamide Hydrochloride (25 mg)
1045,4-Hydroxyisoleucine (35 mg)
1046,4-Methoxymeloxicam (30 mg) (4-methoxy-2-methyl-N-(5-methyl-1 - 3-thiazol-2-yl)-2H-1 - 2-benzothiazine-3-carboxamide 1 - 1-dioxide)
