col_zero,col_one,col_two,col_three,col_four
vdx_gastrointestinal,Abdominal pain,Abdominal pain subtypes,Abdominal pain,
vdx_gastrointestinal,Abdominal pain,Abdominal pain subtypes,Epigastric pain,
vdx_gastrointestinal,Abdominal pain,Abdominal pain subtypes,Right upper quadrant pain,
vdx_gastrointestinal,Abdominal pain,Abdominal pain subtypes,Right lower quadrant pain,
vdx_gastrointestinal,Abdominal pain,Abdominal pain subtypes,Left upper quadrant pain,
vdx_gastrointestinal,Abdominal pain,Abdominal pain subtypes,Left lower quadrant pain,
vdx_gastrointestinal,Abdominal pain,Abdominal pain subtypes,Periumbilical pain,
vdx_gastrointestinal,Abdominal pain,GI Symptoms,Nausea,
vdx_gastrointestinal,Abdominal pain,GI Symptoms,Vomiting,
vdx_gastrointestinal,Abdominal pain,GI Symptoms,Diarrhea,
vdx_gastrointestinal,Abdominal pain,GI Symptoms,Abdominal distension,
vdx_gastrointestinal,Abdominal pain,GI Symptoms,Constipation,
vdx_gastrointestinal,Abdominal pain,GI Symptoms,Melena,
vdx_gastrointestinal,Abdominal pain,GI Symptoms,Hematochezia,
vdx_gastrointestinal,Abdominal pain,GI Symptoms,Pale feces,
vdx_gastrointestinal,Abdominal pain,Physical GI Signs,Abdominal mass,
vdx_gastrointestinal,Abdominal pain,Physical GI Signs,Hypoactive bowel sounds,
vdx_gastrointestinal,Abdominal pain,Physical GI Signs,Hyperactive bowel sounds,
vdx_gastrointestinal,Abdominal pain,Physical GI Signs,Hepatomegaly,
vdx_gastrointestinal,Abdominal pain,Physical GI Signs,Splenomegaly,
vdx_gastrointestinal,Abdominal pain,Physical GI Signs,Ascites,
vdx_gastrointestinal,Abdominal pain,Physical GI Signs,Rebound tenderness,
vdx_gastrointestinal,Abdominal pain,Onset Findings,Developed rapidly (minutes to hours),
vdx_gastrointestinal,Abdominal pain,Onset Findings,Developed acutely (days to weeks),
vdx_gastrointestinal,Abdominal pain,Onset Findings,Developed chronically (months to years),
vdx_gastrointestinal,Abdominal pain,Onset Findings,Recurring episodes or relapses,
vdx_gastrointestinal,Abdominal pain,Onset Findings,Present at birth,
vdx_gastrointestinal,Abdominal pain,Appearance of the Patient,Patient appears well,
vdx_gastrointestinal,Abdominal pain,Appearance of the Patient,Patient appears ill,
vdx_gastrointestinal,Abdominal pain,Appearance of the Patient,Patient appears systemically ill - toxic,
vdx_gastrointestinal,Abdominal pain,Appearance of the Patient,None,
vdx_gastrointestinal,Abdominal pain,Other associated symptoms,General,Fever
vdx_gastrointestinal,Abdominal pain,Other associated symptoms,General,Anorexia
vdx_gastrointestinal,Abdominal pain,Other associated symptoms,General,Unexplained weight loss
vdx_gastrointestinal,Abdominal pain,Other associated symptoms,General,Jaundice
vdx_gastrointestinal,Abdominal pain,Other associated symptoms,General,Anxiety
vdx_gastrointestinal,Abdominal pain,Other associated symptoms,General,Myalgia
