col_zero,col_one,col_two,col_three,col_four
vdx_ophthalmology,Eye lesion,Eye Lesions & Abnormalities,Conjunctiva Abnormality,Conjunctival Papillae
vdx_ophthalmology,Eye lesion,Eye Lesions & Abnormalities,Conjunctiva Abnormality,Conjunctival Nodule
vdx_ophthalmology,Eye lesion,Eye Lesions & Abnormalities,Conjunctiva Abnormality,Symblepharon
vdx_ophthalmology,Eye lesion,Eye Lesions & Abnormalities,Conjunctiva Abnormality,Palpebral Conjunctival Injection
vdx_ophthalmology,Eye lesion,Eye Lesions & Abnormalities,Conjunctiva Abnormality,Conjunctival Pigmentation
vdx_ophthalmology,Eye lesion,Eye Lesions & Abnormalities,Eyelash Abnormality,Eyelash Madarosis
vdx_ophthalmology,Eye lesion,Eye Lesions & Abnormalities,Eyelash Abnormality,Eyelash Color Change
vdx_ophthalmology,Eye lesion,Eye Lesions & Abnormalities,Eyelash Abnormality,Trichiasis
vdx_ophthalmology,Eye lesion,Eye Lesions & Abnormalities,Pupil / Lens / Iris Abnormality,Miosis
vdx_ophthalmology,Eye lesion,Eye Lesions & Abnormalities,Pupil / Lens / Iris Abnormality,Mydriasis
vdx_ophthalmology,Eye lesion,Eye Lesions & Abnormalities,Pupil / Lens / Iris Abnormality,Pupil Shape Abnormal
vdx_ophthalmology,Eye lesion,Eye Lesions & Abnormalities,Pupil / Lens / Iris Abnormality,Lens Abnormality
vdx_ophthalmology,Eye lesion,Eye Lesions & Abnormalities,Pupil / Lens / Iris Abnormality,Iris Abnormality
vdx_ophthalmology,Eye lesion,Eye Lesions & Abnormalities,Cornea / Anterior Chamber Abnormality,Corneal Peripheral Lesion
vdx_ophthalmology,Eye lesion,Eye Lesions & Abnormalities,Cornea / Anterior Chamber Abnormality,Corneal Pigmented Lesion
vdx_ophthalmology,Eye lesion,Eye Lesions & Abnormalities,Cornea / Anterior Chamber Abnormality,Corneal Diffuse White Infiltrate
vdx_ophthalmology,Eye lesion,Eye Lesions & Abnormalities,Cornea / Anterior Chamber Abnormality,Corneal Focal White Infiltrate
vdx_ophthalmology,Eye lesion,Eye Lesions & Abnormalities,Cornea / Anterior Chamber Abnormality,Corneal Dendritic Ulcer
vdx_ophthalmology,Eye lesion,Eye Lesions & Abnormalities,Cornea / Anterior Chamber Abnormality,Corneal Small Punctate White Spots
vdx_ophthalmology,Eye lesion,Eye Lesions & Abnormalities,Cornea / Anterior Chamber Abnormality,Corneal Ulcer
vdx_ophthalmology,Eye lesion,Eye Lesions & Abnormalities,Cornea / Anterior Chamber Abnormality,Hypopyon
vdx_ophthalmology,Eye lesion,Eye Lesions & Abnormalities,Sclera / Bulbar Conjunctiva,Conjunctival Injection
