col_zero,col_one,col_two,col_three,col_four
vdx_skin_lesions,Fever Rash or multiple lesions,Skin Lesion Type,Light Skin,Smooth Papule / Plaque
vdx_skin_lesions,Fever Rash or multiple lesions,Skin Lesion Type,Light Skin,Scaly Papule / Plaque
vdx_skin_lesions,Fever Rash or multiple lesions,Skin Lesion Type,Light Skin,Eschar
vdx_skin_lesions,Fever Rash or multiple lesions,Skin Lesion Type,Light Skin,Erythema / Erythroderma
vdx_skin_lesions,Fever Rash or multiple lesions,Skin Lesion Type,Light Skin,Purpura / Petechiae
vdx_skin_lesions,Fever Rash or multiple lesions,Skin Lesion Type,Light Skin,Flat / Macular
vdx_skin_lesions,Fever Rash or multiple lesions,Skin Lesion Type,Light Skin,Vesicular / Pustular
vdx_skin_lesions,Fever Rash or multiple lesions,Skin Lesion Type,Light Skin,Erosion / Ulcer / Atrophy
vdx_skin_lesions,Fever Rash or multiple lesions,Skin Lesion Type,Light Skin,Gangrene
vdx_skin_lesions,Fever Rash or multiple lesions,Skin Lesion Type,Dark Skin,Smooth Papule / Plaque
vdx_skin_lesions,Fever Rash or multiple lesions,Skin Lesion Type,Dark Skin,Scaly Papule / Plaque
vdx_skin_lesions,Fever Rash or multiple lesions,Skin Lesion Type,Dark Skin,Eschar
vdx_skin_lesions,Fever Rash or multiple lesions,Skin Lesion Type,Dark Skin,Erythema / Erythroderma
vdx_skin_lesions,Fever Rash or multiple lesions,Skin Lesion Type,Dark Skin,Purpura / Petechiae
vdx_skin_lesions,Fever Rash or multiple lesions,Skin Lesion Type,Dark Skin,Flat / Macular
vdx_skin_lesions,Fever Rash or multiple lesions,Skin Lesion Type,Dark Skin,Vesicular / Pustular
vdx_skin_lesions,Fever Rash or multiple lesions,Skin Lesion Type,Dark Skin,Erosion / Ulcer / Atrophy
vdx_skin_lesions,Fever Rash or multiple lesions,Skin Lesion Type,Dark Skin,Gangrene
vdx_skin_lesions,Fever Rash or multiple lesions,Location of Skin Findings,Distribution,Scattered Few
vdx_skin_lesions,Fever Rash or multiple lesions,Location of Skin Findings,Distribution,Scattered Many
vdx_skin_lesions,Fever Rash or multiple lesions,Location of Skin Findings,Distribution,Widespread
vdx_skin_lesions,Fever Rash or multiple lesions,Location of Skin Findings,Distribution,Intertriginous
vdx_skin_lesions,Fever Rash or multiple lesions,Location of Skin Findings,Distribution,Symmetric Extremities
vdx_skin_lesions,Fever Rash or multiple lesions,Location of Skin Findings,Distribution,Photodistributed
vdx_skin_lesions,Fever Rash or multiple lesions,Location of Skin Findings,Distribution,Acral
vdx_skin_lesions,Fever Rash or multiple lesions,Location of Skin Findings,Distribution,Lymphangitic
vdx_skin_lesions,Fever Rash or multiple lesions,Location of Skin Findings,Distribution,Dermatomal
vdx_skin_lesions,Fever Rash or multiple lesions,Location of Skin Findings,Location,Scalp
vdx_skin_lesions,Fever Rash or multiple lesions,Location of Skin Findings,Location,Face
vdx_skin_lesions,Fever Rash or multiple lesions,Location of Skin Findings,Location,Neck
vdx_skin_lesions,Fever Rash or multiple lesions,Location of Skin Findings,Location,Arm
vdx_skin_lesions,Fever Rash or multiple lesions,Location of Skin Findings,Location,Hands
vdx_skin_lesions,Fever Rash or multiple lesions,Location of Skin Findings,Location,Trunk
vdx_skin_lesions,Fever Rash or multiple lesions,Location of Skin Findings,Location,Anogenital
vdx_skin_lesions,Fever Rash or multiple lesions,Location of Skin Findings,Location,Leg
vdx_skin_lesions,Fever Rash or multiple lesions,Location of Skin Findings,Location,Foot or Toes
vdx_skin_lesions,Fever Rash or multiple lesions,Symptoms & Signs,Rash or multiple lesions / Fever,Pruritus
vdx_skin_lesions,Fever Rash or multiple lesions,Symptoms & Signs,Rash or multiple lesions / Fever,No pruritus
vdx_skin_lesions,Fever Rash or multiple lesions,Symptoms & Signs,Rash or multiple lesions / Fever,Painful skin lesions
vdx_skin_lesions,Fever Rash or multiple lesions,Symptoms & Signs,Rash or multiple lesions / Fever,Photosensitivity
vdx_skin_lesions,Fever Rash or multiple lesions,Symptoms & Signs,Rash or multiple lesions / Fever,Fever
vdx_skin_lesions,Fever Rash or multiple lesions,Symptoms & Signs,Rash or multiple lesions / Fever,Headache
vdx_skin_lesions,Fever Rash or multiple lesions,Symptoms & Signs,Rash or multiple lesions / Fever,Arthralgia
vdx_skin_lesions,Fever Rash or multiple lesions,Symptoms & Signs,Rash or multiple lesions / Fever,Pain out of proportion to exam findings
vdx_skin_lesions,Fever Rash or multiple lesions,Symptoms & Signs,Rash or multiple lesions / Fever,Flushing
vdx_skin_lesions,Fever Rash or multiple lesions,Symptoms & Signs,Rash or multiple lesions / Fever,Jaundice
vdx_skin_lesions,Fever Rash or multiple lesions,Symptoms & Signs,Rash or multiple lesions / Fever,Lymphadenopathy
